,segment_start,segment_end,segment_pair,travel_duration,weather,rush_hour
0,400354, 400354,"(400354, 400354)",64.4,0.0,0
1,901111, 402143,"(901111, 402143)",260.475991845,0.0,0
2,805037, 805039,"(805037, 805039)",174.028028481,0.0,0
3,404299, 404299,"(404299, 404299)",59.5,0.0,0
4,805033, 805035,"(805033, 805035)",209.336689918,0.0,0
5,203617, 203810,"(203617, 203810)",69.5726642159,0.0,0
6,805034, 805037,"(805034, 805037)",153.852576202,0.0,0
7,203610, 203610,"(203610, 203610)",33.0,0.0,0
8,402228, 402229,"(402228, 402229)",133.54230789,0.0,0
9,905030, 400186,"(905030, 400186)",193.662654569,0.0,0
10,402144, 402144,"(402144, 402144)",107.4,0.0,0
11,203611, 203612,"(203611, 203612)",116.867685528,0.0,0
12,400744, 404326,"(400744, 404326)",130.735795451,0.0,0
13,201933, 201934,"(201933, 201934)",78.4689659457,0.0,0
14,200428, 203884,"(200428, 203884)",50.4444584098,0.0,0
15,201499, 201730,"(201499, 201730)",85.91849798,0.0,0
16,402227, 404299,"(402227, 404299)",48.0,0.0,0
17,203343, 203343,"(203343, 203343)",71.3636363636,0.0,0
18,901114, 805034,"(901114, 805034)",163.282110367,0.0,0
19,901171, 805039,"(901171, 805039)",124.0,0.0,0
20,404326, 402233,"(404326, 402233)",128.990496576,0.0,0
21,203052, 203052,"(203052, 203052)",82.0,0.0,0
22,203724, 203343,"(203724, 203343)",141.577721894,0.0,0
23,901111, 903205,"(901111, 903205)",491.0,0.0,0
24,402229, 402229,"(402229, 402229)",29.5,0.0,0
25,450040, 450040,"(450040, 450040)",80.0,0.0,0
26,203609, 203610,"(203609, 203610)",86.1207593203,0.0,0
27,203884, 200430,"(203884, 200430)",38.0617360405,0.0,0
28,903205, 903205,"(903205, 903205)",56.4210526316,0.0,0
29,905020, 905020,"(905020, 905020)",74.0,0.0,0
30,203610, 203611,"(203610, 203611)",94.3894782253,0.0,0
31,201492, 201495,"(201492, 201495)",80.2834409009,0.0,0
32,404890, 404887,"(404890, 404887)",218.0,0.0,0
33,402144, 402145,"(402144, 402145)",177.625554028,0.0,0
34,903205, 805035,"(903205, 805035)",35.0,0.0,0
35,402227, 402228,"(402227, 402228)",97.9161822117,0.0,0
36,404326, 404326,"(404326, 404326)",63.0,0.0,0
37,201940, 201942,"(201940, 201942)",49.7567548485,0.0,0
38,901171, 805038,"(901171, 805038)",140.0,0.0,0
39,402228, 404299,"(402228, 404299)",26.0,0.0,0
40,202941, 203052,"(202941, 203052)",128.181034049,0.0,0
41,202647, 200316,"(202647, 200316)",35.0,0.0,0
42,201495, 200316,"(201495, 200316)",106.0,0.0,0
43,404300, 450040,"(404300, 450040)",20.3333333333,0.0,0
44,400186, 400354,"(400186, 400354)",206.704494831,0.0,0
45,901171, 903205,"(901171, 903205)",202.099475382,0.0,0
46,203723, 203724,"(203723, 203724)",81.6733691603,0.0,0
47,202647, 203809,"(202647, 203809)",66.3775222617,0.0,0
48,405043, 203724,"(405043, 203724)",56.0,0.0,0
49,404890, 404890,"(404890, 404890)",48.0,0.0,0
50,404850, 803074,"(404850, 803074)",88.1645260322,0.0,0
51,805033, 805033,"(805033, 805033)",325.0,0.0,0
52,201942, 201944,"(201942, 201944)",80.3484195139,0.0,0
53,903205, 405043,"(903205, 405043)",193.930563079,0.0,0
54,203724, 203724,"(203724, 203724)",79.1315789474,0.0,0
55,201950, 201933,"(201950, 201933)",2095.0,0.0,0
56,203810, 203456,"(203810, 203456)",94.9207644598,0.0,0
57,405043, 405043,"(405043, 405043)",60.1666666667,0.0,0
58,450402, 450402,"(450402, 450402)",189.0,0.0,0
59,202669, 201933,"(202669, 201933)",445.0,0.0,0
60,203456, 200646,"(203456, 200646)",62.695348804,0.0,0
61,450040, 404299,"(450040, 404299)",152.354779844,0.0,0
62,402145, 905030,"(402145, 905030)",117.530919952,0.0,0
63,203343, 203798,"(203343, 203798)",104.867779887,0.0,0
64,201498, 201499,"(201498, 201499)",60.0747206187,0.0,0
65,404890, 400070,"(404890, 400070)",614.0,0.0,0
66,803071, 901111,"(803071, 901111)",177.654579075,0.0,0
67,203609, 203609,"(203609, 203609)",50.0,0.0,0
68,901171, 901171,"(901171, 901171)",50.5,0.0,0
69,404850, 404850,"(404850, 404850)",63.0,0.0,0
70,201944, 203067,"(201944, 203067)",139.0,0.0,0
71,905020, 805033,"(905020, 805033)",212.023057793,0.0,0
72,905030, 903205,"(905030, 903205)",92.0,0.0,0
73,202589, 201947,"(202589, 201947)",85.7111698014,0.0,0
74,201951, 203604,"(201951, 203604)",54.2030620229,0.0,0
75,203723, 203723,"(203723, 203723)",93.0,0.0,0
76,404890, 404891,"(404890, 404891)",92.7981844804,0.0,0
77,905019, 200316,"(905019, 200316)",2.8,0.0,0
78,404300, 402227,"(404300, 402227)",118.680188256,0.0,0
79,203608, 203609,"(203608, 203609)",96.611621882,0.0,0
80,404300, 404300,"(404300, 404300)",75.0,0.0,0
81,402229, 400744,"(402229, 400744)",154.02055974,0.0,0
82,203604, 203608,"(203604, 203608)",66.1333469216,0.0,0
83,201730, 203616,"(201730, 203616)",70.5751936164,0.0,0
84,201950, 201951,"(201950, 201951)",76.7089577768,0.0,0
85,402233, 400744,"(402233, 400744)",13.0,0.0,0
86,404299, 404300,"(404299, 404300)",128.429951427,0.0,0
87,404892, 404892,"(404892, 404892)",103.0,0.0,0
88,903101, 903101,"(903101, 903101)",32.0,0.0,0
89,903101, 404850,"(903101, 404850)",109.332763196,0.0,0
90,400070, 404887,"(400070, 404887)",236.0,0.0,0
91,400070, 400070,"(400070, 400070)",40.0,0.0,0
92,404887, 400070,"(404887, 400070)",761.815216585,0.0,0
93,203614, 901108,"(203614, 901108)",803.826971472,0.0,0
94,905020, 203809,"(905020, 203809)",1304.0,0.0,0
95,203605, 202647,"(203605, 202647)",64.0947330556,0.0,0
96,400186, 903205,"(400186, 903205)",58.0,0.0,0
97,201947, 201948,"(201947, 201948)",120.279095794,0.0,0
98,400744, 400744,"(400744, 400744)",82.0,0.0,0
99,805039, 805038,"(805039, 805038)",172.775341313,0.0,0
100,203614, 203614,"(203614, 203614)",62.0,0.0,0
101,203067, 201933,"(203067, 201933)",225.650451034,0.0,0
102,203052, 200652,"(203052, 200652)",126.852577783,0.0,0
103,200316, 200428,"(200316, 200428)",71.4469932853,0.0,0
104,901108, 404887,"(901108, 404887)",797.333879559,0.0,0
105,402143, 402144,"(402143, 402144)",258.315314286,0.0,0
106,400186, 400186,"(400186, 400186)",93.3333333333,0.0,0
107,803074, 803074,"(803074, 803074)",32.0,0.0,0
108,201934, 201934,"(201934, 201934)",111.0,0.0,0
109,202603, 202603,"(202603, 202603)",59.0,0.0,0
110,200652, 203723,"(200652, 203723)",100.245719846,0.0,0
111,805035, 901114,"(805035, 901114)",184.937548373,0.0,0
112,201948, 201950,"(201948, 201950)",98.4461174541,0.0,0
113,803071, 903205,"(803071, 903205)",409.0,0.0,0
114,803033, 903205,"(803033, 903205)",178.0,0.0,0
115,404300, 404299,"(404300, 404299)",84.0,0.0,0
116,201933, 203067,"(201933, 203067)",197.0,0.0,0
117,803074, 803071,"(803074, 803071)",114.465045848,0.0,0
118,203612, 203613,"(203612, 203613)",127.680785004,0.0,0
119,200652, 200652,"(200652, 200652)",78.6666666667,0.0,0
120,905030, 905030,"(905030, 905030)",71.5,0.0,0
121,400354, 450040,"(400354, 450040)",182.697306356,0.0,0
122,402228, 404300,"(402228, 404300)",67.0,0.0,0
123,803074, 903205,"(803074, 903205)",118.0,0.0,0
124,201934, 203417,"(201934, 203417)",65.7489929406,0.0,0
125,201940, 203067,"(201940, 203067)",114.0,0.0,0
126,402143, 402143,"(402143, 402143)",78.3333333333,0.0,0
127,203616, 203617,"(203616, 203617)",67.2364070118,0.0,0
128,803033, 401666,"(803033, 401666)",81.7409456071,0.0,0
129,203613, 203614,"(203613, 203614)",123.81449572,0.0,0
130,400070, 450402,"(400070, 450402)",188.495591793,0.0,0
131,404891, 404892,"(404891, 404892)",70.3175581176,0.0,0
132,200646, 200715,"(200646, 200715)",56.7700917146,0.0,0
133,905020, 203724,"(905020, 203724)",195.0,0.0,0
134,404299, 400354,"(404299, 400354)",29.75,0.0,0
135,901111, 901111,"(901111, 901111)",32.0,0.0,0
136,202669, 201940,"(202669, 201940)",60.1081335691,0.0,0
137,805039, 805039,"(805039, 805039)",60.0,0.0,0
138,805038, 805038,"(805038, 805038)",60.0,0.0,0
139,203067, 203067,"(203067, 203067)",110.666666667,0.0,0
140,203809, 201492,"(203809, 201492)",64.3961070215,0.0,0
141,803033, 803033,"(803033, 803033)",47.0,0.0,0
142,805038, 901171,"(805038, 901171)",162.801168348,0.0,0
143,202603, 202941,"(202603, 202941)",97.3513387581,0.0,0
144,200430, 203605,"(200430, 203605)",53.2945261495,0.0,0
145,404892, 404242,"(404892, 404242)",95.75,0.0,0
146,402145, 402145,"(402145, 402145)",26.0,0.0,0
147,203798, 905020,"(203798, 905020)",86.3924150874,0.0,0
148,201495, 201497,"(201495, 201497)",72.3028542258,0.0,0
149,203417, 202669,"(203417, 202669)",81.1996128011,0.0,0
150,203884, 905019,"(203884, 905019)",53.0,0.0,0
151,200715, 202603,"(200715, 202603)",62.2386666917,0.0,0
152,405043, 803033,"(405043, 803033)",169.940395242,0.0,0
153,201497, 201498,"(201497, 201498)",62.4290067756,0.0,0
154,402144, 903205,"(402144, 903205)",151.0,0.0,0
155,201944, 202589,"(201944, 202589)",62.8348381437,0.0,0
156,401666, 903101,"(401666, 903101)",72.600979044,0.0,0
157,203343, 203052,"(203343, 203052)",68.0,0.0,0
158,404887, 404887,"(404887, 404887)",66.0,0.0,0
159,450402, 404890,"(450402, 404890)",169.214102639,0.0,0
160,803071, 803071,"(803071, 803071)",63.5,0.0,0
161,401666, 401666,"(401666, 401666)",63.0,0.0,0
0,201951, 201933,"(201951, 201933)",69.0,1.0,0
1,203611, 201933,"(203611, 201933)",12.0,1.0,0
2,901111, 402143,"(901111, 402143)",256.529166667,1.0,0
3,805037, 805039,"(805037, 805039)",186.777928607,1.0,0
4,805033, 805035,"(805033, 805035)",186.777928607,1.0,0
5,203617, 203810,"(203617, 203810)",69.2210423333,1.0,0
6,805034, 805037,"(805034, 805037)",186.777928607,1.0,0
7,402228, 402229,"(402228, 402229)",102.679217611,1.0,0
8,905030, 400186,"(905030, 400186)",250.668646714,1.0,0
9,402144, 402144,"(402144, 402144)",71.6666666667,1.0,0
10,203611, 203612,"(203611, 203612)",77.3580686483,1.0,0
11,400744, 404326,"(400744, 404326)",136.2787325,1.0,0
12,201933, 201934,"(201933, 201934)",35.4330508627,1.0,0
13,200428, 203884,"(200428, 203884)",55.6481087222,1.0,0
14,201499, 201730,"(201499, 201730)",91.4199898148,1.0,0
15,901114, 805034,"(901114, 805034)",186.777928607,1.0,0
